bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,9996.22
30,9996.22
31,9996.22
32,9996.22
33,9996.22
34,9996.22
35,9996.22
36,9996.22
37,9996.22
38,9996.22
39,9996.22
40,9996.22
41,9996.22
42,9996.22
43,9996.22
44,9996.22
45,9996.22
46,9996.22
47,9996.22
48,9996.22
49,9996.22
50,9996.22
51,9996.22
52,9996.22
53,9994.75
54,9994.75
55,9994.75
56,9989.65
57,9989.65
58,9989.65
59,9989.65
60,9989.65
61,9989.65
62,9989.65
63,9989.65
64,9989.65
65,9989.65
66,9989.65
67,9989.65
68,9989.65
69,9989.65
70,9989.65
71,9989.65
72,9989.65
73,9989.65
74,9989.65
75,9989.65
76,9987.57
77,9987.57
78,9994.35
79,9994.35
80,9994.35
81,9994.35
82,9994.35
83,9994.35
84,9994.35
85,9999.56
86,9999.56
87,9999.56
88,9999.56
89,9999.56
90,9999.56
91,9999.56
92,9999.56
93,9999.56
94,9999.56
95,9999.56
96,9999.56
97,9999.56
98,9992.35
99,9992.35
100,9992.35
101,9992.35
102,9992.35
103,9987.02
104,9987.02
105,9978.54
106,9978.54
107,9978.54
108,9978.54
109,9978.54
110,9978.54
111,9978.54
112,9978.54
113,9978.54
114,9978.54
115,9978.54
116,9978.54
117,9978.54
118,9978.54
119,9978.54
120,9978.54
121,9978.54
122,9978.54
123,9978.54
124,9978.54
125,9978.54
126,9978.54
127,9978.54
128,9978.54
129,9978.54
130,9978.54
131,9978.54
132,9978.54
133,9978.54
134,9978.54
135,9978.54
136,9978.54
137,9978.54
138,9978.54
139,9978.54
140,9978.54
141,9978.54
142,9978.54
143,9978.54
144,9978.54
145,9978.54
146,9978.54
147,9978.54
148,9978.54
149,9978.54
150,9978.54
151,9978.54
152,9978.54
153,9978.54
154,9978.54
155,9978.54
156,9978.54
157,9978.54
158,9978.54
159,9978.54
160,9978.54
161,9978.54
162,9978.54
163,9978.54
164,9978.54
165,9978.54
166,9978.54
167,9978.54
168,9978.54
169,9978.54
170,9978.54
171,9978.54
172,9978.54
173,9978.54
174,9976.16
175,9976.16
176,9976.16
177,9974.4
178,9974.4
179,9974.4
180,9974.4
181,9973.52
182,9973.52
183,9973.52
184,9973.52
185,9973.52
186,9973.52
187,9973.52
188,9973.52
189,9973.52
190,9973.52
191,9973.52
192,9973.52
193,9973.52
194,9973.52
195,9973.52
196,9973.52
197,9976.05
198,9976.05
199,9976.05
200,9976.05
201,9976.81
202,9976.81
203,9976.81
204,9976.81
205,9976.81
206,9973.58
207,9973.58
208,9973.58
209,9973.58
210,9973.58
211,9973.58
212,9973.58
213,9973.58
214,9973.58
215,9973.58
216,9973.58
217,9973.58
218,9973.58
219,9973.58
220,9973.58
221,9973.58
222,9973.58
223,9973.58
224,9973.58
225,9973.58
226,9973.58
227,9973.58
228,9973.58
229,9973.58
230,9985.34
231,9985.34
232,9985.34
233,9985.34
234,9985.34
235,9985.34
236,9982.23
237,9982.23
238,9982.23
239,9982.23
240,9982.23
241,9982.23
242,9982.23
243,9982.23
244,9982.23
245,9982.23
246,9993.92
247,9993.92
248,9993.92
249,9993.92
250,9993.92
251,9993.92
252,9993.92
253,9993.92
254,9993.92
255,10004.49
256,10004.49
257,10004.49
258,10004.49
259,10004.49
260,10004.49
261,10004.49
262,10004.49
263,10004.49
264,10004.49
265,10004.49
266,10004.49
267,10004.49
268,10004.49
269,10004.49
270,10004.49
271,10004.49
272,10004.49
273,10004.49
274,10001.51
275,9993.04
276,9993.04
277,9993.04
278,9993.04
279,9993.04
280,9993.04
281,9993.04
282,9993.04
283,9993.04
284,9993.04
285,9993.04
286,9993.04
287,9993.04
288,9993.04
289,9993.04
290,9993.04
291,9993.04
292,9993.04
293,9993.04
294,9993.04
295,9993.04
296,9993.04
297,9993.04
298,9993.04
299,9993.04
300,9993.04
301,9993.04
302,9993.04
303,9993.04
304,9993.04
305,9993.04
306,9993.04
307,9991.01
308,9991.01
