bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,9996.34
30,9996.34
31,9996.34
32,9996.34
33,9996.34
34,9996.34
35,9996.34
36,9996.34
37,9996.34
38,9994.95
39,9994.95
40,9994.95
41,9994.95
42,9996.59
43,9996.59
44,9996.59
45,9996.59
46,9996.59
47,9992.35
48,9992.35
49,9992.35
50,9992.35
51,9992.35
52,9992.35
53,9990.89
54,9990.89
55,9990.89
56,9990.89
57,9990.89
58,9990.89
59,9990.89
60,9990.89
61,9990.89
62,9990.89
63,9990.89
64,9990.89
65,9990.89
66,9990.89
67,9990.89
68,9993.57
69,9993.57
70,9993.57
71,9993.57
72,9993.57
73,9993.57
74,9993.57
75,9993.57
76,9988.22
77,9988.22
78,9981.92
79,9981.92
80,9981.92
81,9981.92
82,9981.92
83,9981.92
84,9981.92
85,9987.14
86,9987.14
87,9987.14
88,9987.14
89,9987.14
90,9987.14
91,9987.14
92,9987.14
93,9987.14
94,9987.14
95,9987.14
96,9987.14
97,9987.14
98,9979.93
99,9979.93
100,9979.93
101,9979.93
102,9979.93
103,9975.93
104,9975.93
105,9967.46
106,9967.46
107,9967.46
108,9967.46
109,9967.46
110,9967.46
111,9967.46
112,9967.46
113,9967.46
114,9964.34
115,9964.34
116,9964.34
117,9964.34
118,9964.34
119,9964.34
120,9964.34
121,9964.34
122,9964.34
123,9964.34
124,9964.34
125,9964.34
126,9964.34
127,9964.34
128,9964.34
129,9964.34
130,9964.34
131,9964.34
132,9964.34
133,9964.34
134,9964.34
135,9964.34
136,9964.34
137,9964.34
138,9964.34
139,9964.34
140,9964.34
141,9964.34
142,9964.34
143,9964.34
144,9964.34
145,9964.34
146,9964.34
147,9964.34
148,9964.34
149,9964.34
150,9964.34
151,9964.34
152,9964.34
153,9964.34
154,9964.34
155,9964.34
156,9964.34
157,9964.34
158,9964.34
159,9964.34
160,9964.34
161,9964.34
162,9964.34
163,9964.34
164,9963.39
165,9963.39
166,9963.39
167,9963.39
168,9963.39
169,9963.39
170,9963.39
171,9963.39
172,9963.39
173,9963.39
174,9957.77
175,9957.77
176,9957.77
177,9956.01
178,9956.01
179,9956.01
180,9956.01
181,9956.01
182,9956.01
183,9956.01
184,9953.11
185,9953.11
186,9953.11
187,9953.11
188,9953.11
189,9953.11
190,9953.11
191,9953.11
192,9953.11
193,9953.11
194,9953.11
195,9953.11
196,9953.11
197,9955.65
198,9955.65
199,9955.65
200,9953.59
201,9954.5
202,9954.5
203,9954.5
204,9954.5
205,9954.5
206,9944.34
207,9944.34
208,9944.34
209,9944.34
210,9944.34
211,9944.34
212,9944.34
213,9944.34
214,9944.34
215,9944.34
216,9944.34
217,9944.34
218,9944.34
219,9944.34
220,9944.34
221,9944.34
222,9944.34
223,9944.34
224,9944.34
225,9944.34
226,9944.34
227,9944.34
228,9944.34
229,9944.34
230,9960.3
231,9960.3
232,9960.3
233,9960.3
234,9960.3
235,9960.3
236,9960.3
237,9960.3
238,9960.3
239,9960.3
240,9960.3
241,9960.3
242,9960.3
243,9960.3
244,9960.3
245,9960.3
246,9971.96
247,9971.96
248,9971.96
249,9971.96
250,9971.96
251,9971.96
252,9971.96
253,9971.96
254,9971.96
255,9982.51
256,9982.51
257,9982.51
258,9982.51
259,9982.51
260,9982.51
261,9982.51
262,9982.51
263,9982.51
264,9982.51
265,9982.51
266,9982.51
267,9982.51
268,9982.51
269,9977.67
270,9977.67
271,9978.64
272,9978.64
273,9973.38
274,9971.88
275,9963.43
276,9963.43
277,9963.43
278,9963.43
279,9963.43
280,9963.43
281,9963.43
282,9963.43
283,9963.43
284,9963.43
285,9963.43
286,9963.43
287,9963.43
288,9963.43
289,9963.43
290,9963.43
291,9963.43
292,9965.16
293,9965.16
294,9961.13
295,9961.13
296,9961.13
297,9961.13
298,9961.13
299,9961.13
300,9961.13
301,9961.13
302,9961.13
303,9961.13
304,9961.13
305,9961.13
306,9961.13
307,9959.11
308,9959.11
