bar,equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,9998.35
24,9998.35
25,9998.35
26,9998.35
27,9998.35
28,9998.35
29,9998.35
30,9998.35
31,9998.35
32,9998.35
33,9998.35
34,9998.35
35,9997.16
36,9997.16
37,9997.16
38,9995.88
39,9994.45
40,9994.45
41,9994.45
42,9996.22
43,9996.22
44,9996.22
45,9996.22
46,9996.22
47,9992.55
48,9992.55
49,9992.55
50,9992.55
51,9992.55
52,9992.55
53,9991.22
54,9991.22
55,9991.22
56,9991.22
57,9991.22
58,9991.22
59,9991.22
60,9991.22
61,9991.22
62,9991.22
63,9991.22
64,9991.22
65,9991.22
66,9991.22
67,9991.22
68,9993.91
69,9993.91
70,9993.91
71,9993.91
72,9993.91
73,9993.91
74,9993.91
75,9993.91
76,9988.92
77,9988.92
78,9983.18
79,9983.18
80,9983.18
81,9982.15
82,9982.15
83,9982.15
84,9982.15
85,9984.09
86,9984.09
87,9984.09
88,9984.09
89,9984.09
90,9984.09
91,9984.09
92,9984.09
93,9984.09
94,9984.09
95,9984.09
96,9984.09
97,9984.09
98,9982.31
99,9982.31
100,9982.31
101,9982.31
102,9982.31
103,9988.08
104,9988.08
105,9986.3
106,9986.3
107,9986.3
108,9986.3
109,9986.3
110,9986.3
111,9987.04
112,9987.04
113,9987.04
114,9984.3
115,9984.3
116,9984.3
117,9984.3
118,9984.3
119,9984.3
120,9984.3
121,9984.3
122,9984.3
123,9984.3
124,9984.3
125,9984.3
126,9984.3
127,9984.3
128,9984.3
129,9984.3
130,9984.3
131,9984.3
132,9984.3
133,9984.3
134,9984.3
135,9984.3
136,9984.3
137,9984.3
138,9984.3
139,9984.3
140,9984.3
141,9984.3
142,9984.3
143,9984.3
144,9984.3
145,9984.3
146,9984.3
147,9984.3
148,9984.3
149,9984.3
150,9984.3
151,9984.3
152,9984.3
153,9984.3
154,9984.3
155,9984.3
156,9984.3
157,9984.3
158,9984.3
159,9984.3
160,9984.3
161,9984.3
162,9984.3
163,9984.3
164,9983.62
165,9983.62
166,9983.62
167,9983.62
168,9983.62
169,9983.62
170,9983.62
171,9985.33
172,9985.33
173,9985.33
174,9985.33
175,9985.33
176,9985.33
177,9983.56
178,9983.56
179,9983.56
180,9983.56
181,9983.56
182,9983.56
183,9983.56
184,9983.56
185,9983.56
186,9983.56
187,9983.56
188,9983.56
189,9983.56
190,9983.56
191,9983.56
192,9983.56
193,9983.56
194,9983.56
195,9983.56
196,9983.56
197,9985.58
198,9985.58
199,9985.58
200,9985.58
201,9985.58
202,9985.58
203,9985.58
204,9985.58
205,9985.58
206,9982.03
207,9990.01
208,9990.01
209,9990.01
210,9990.01
211,9990.01
212,9990.01
213,9990.01
214,9990.01
215,9990.01
216,9990.01
217,9990.01
218,9990.01
219,9990.01
220,9990.01
221,9990.01
222,9990.01
223,9990.01
224,9990.01
225,9990.01
226,9990.01
227,9990.01
228,9990.01
229,9985.11
230,9985.11
231,9985.11
232,9985.11
233,9985.11
234,9985.11
235,9985.11
236,9990.83
237,10001.88
238,10001.88
239,9998.02
240,9998.02
241,9998.02
242,9998.02
243,9998.02
244,9998.02
245,9994.0
246,10003.22
247,10003.22
248,10003.22
249,10003.22
250,10003.22
251,10003.22
252,10003.22
253,10010.04
254,10010.04
255,10010.04
256,10010.04
257,10010.04
258,10010.04
259,10010.04
260,10010.04
261,10010.04
262,10010.04
263,10010.04
264,10010.04
265,10010.04
266,10010.04
267,10017.55
268,10017.55
269,10017.34
270,10017.34
271,10019.58
272,10019.58
273,10015.24
274,10014.02
275,10007.03
276,10007.03
277,10007.03
278,10007.03
279,10007.03
280,10007.03
281,10007.03
282,10007.03
283,10007.03
284,10007.03
285,10007.03
286,10007.03
287,10007.03
288,10007.03
289,10007.03
290,10007.03
291,10007.03
292,10008.77
293,10008.77
294,10005.11
295,10005.11
296,10005.11
297,10005.11
298,10005.11
299,10005.11
300,10005.11
301,10005.11
302,10005.11
303,10005.11
304,10005.11
305,10005.11
306,10005.11
307,10003.43
308,10003.43
