bar,time,strategy,direction,confidence,regime,entry,exit,stop,tp,atr,raw_pnl_pct,net_pnl_pct,pos_usd,pnl_usd,exit_reason,capital
427,2026-01-15 18:00:00,SentimentPulseStrategy,SHORT,0.7908,BEAR_TRENDING,3288.15,3294.68,3386.85,3140.1,32.9,-0.001986,-0.003486,400.0,-1.3944,bar_close,9998.61
430,2026-01-15 21:00:00,MomentumStrategy,SHORT,0.7973,BEAR_TRENDING,3298.68,3308.52,3392.6,3157.8,31.31,-0.002983,-0.004483,399.94,-1.793,bar_close,9996.81
504,2026-01-18 23:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,3282.7,3203.75,3335.33,3203.75,17.54,0.02405,0.02255,399.87,9.017,take_profit,10005.83
505,2026-01-19 00:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,3211.39,3205.52,3282.86,3104.18,23.82,0.001828,0.000328,400.23,0.1312,bar_close,10005.96
506,2026-01-19 01:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,3205.52,3203.23,3277.54,3097.48,24.01,0.000714,-0.000786,400.24,-0.3144,bar_close,10005.65
535,2026-01-20 06:00:00,SentimentPulseStrategy,SHORT,0.8439,BEAR_TRENDING,3113.64,3120.49,3178.77,3015.94,21.71,-0.0022,-0.0037,400.23,-1.4808,bar_close,10004.17
537,2026-01-20 08:00:00,SentimentPulseStrategy,SHORT,0.8232,BEAR_TRENDING,3103.41,3091.12,3171.44,3001.36,22.68,0.00396,0.00246,400.17,0.9845,bar_close,10005.15
545,2026-01-20 16:00:00,SentimentPulseStrategy,SHORT,0.7931,BEAR_TRENDING,3006.44,2996.86,3089.11,2882.44,27.56,0.003186,0.001686,400.21,0.6749,bar_close,10005.83
618,2026-01-23 17:00:00,SentimentPulseStrategy,LONG,0.7614,BULL_TRENDING,2984.15,2985.61,2891.62,3122.95,30.84,0.000489,-0.001011,400.23,-0.4045,bar_close,10005.42
666,2026-01-25 17:00:00,SentimentPulseStrategy,SHORT,0.775,BEAR_TRENDING,2880.98,2845.02,2926.36,2812.91,15.13,0.012482,0.010982,400.22,4.3951,bar_close,10009.82
667,2026-01-25 18:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2845.02,2810.38,2900.02,2762.52,18.33,0.012176,0.010676,400.39,4.2745,bar_close,10014.09
668,2026-01-25 19:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2810.38,2807.42,2873.19,2716.17,20.94,0.001053,-0.000447,400.56,-0.179,bar_close,10013.91
669,2026-01-25 20:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2807.42,2816.27,2873.51,2708.28,22.03,-0.003152,-0.004652,400.56,-1.8635,bar_close,10012.05
759,2026-01-29 14:00:00,SentimentPulseStrategy,SHORT,0.7839,BEAR_TRENDING,2872.22,2819.77,2940.42,2769.93,22.73,0.018261,0.016761,400.48,6.7125,bar_close,10018.76
760,2026-01-29 15:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2819.77,2830.94,2900.15,2699.21,26.79,-0.003961,-0.005461,400.75,-2.1886,bar_close,10016.57
761,2026-01-29 16:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2830.94,2820.66,2913.06,2707.76,27.37,0.003631,0.002131,400.66,0.8539,bar_close,10017.43
762,2026-01-29 17:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2820.66,2759.88,2905.73,2693.06,28.36,0.021548,0.020048,400.7,8.0332,bar_close,10025.46
763,2026-01-29 18:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2759.88,2792.81,2855.85,2615.92,31.99,-0.011932,-0.013432,401.02,-5.3863,bar_close,10020.07
770,2026-01-30 01:00:00,SentimentPulseStrategy,SHORT,0.7925,BEAR_TRENDING,2743.61,2732.84,2849.81,2584.31,35.4,0.003925,0.002425,400.8,0.9721,bar_close,10021.04
771,2026-01-30 02:00:00,SentimentPulseStrategy,SHORT,0.8424,BEAR_TRENDING,2732.84,2737.43,2842.43,2568.45,36.53,-0.00168,-0.00318,400.84,-1.2745,bar_close,10019.77
807,2026-01-31 14:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2535.52,2531.01,2639.59,2379.41,34.69,0.001779,0.000279,400.79,0.1117,bar_close,10019.88
809,2026-01-31 16:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2479.49,2400.4,2592.0,2310.72,37.5,0.031898,0.030398,400.8,12.1832,bar_close,10032.06
810,2026-01-31 17:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2400.4,2378.55,2528.39,2208.42,42.66,0.009103,0.007603,401.28,3.0508,bar_close,10035.12
832,2026-02-01 15:00:00,SentimentPulseStrategy,SHORT,0.8054,BEAR_TRENDING,2314.2,2303.03,2446.57,2115.64,44.12,0.004827,0.003327,401.4,1.3354,bar_close,10036.45
840,2026-02-01 23:00:00,SentimentPulseStrategy,SHORT,0.8302,BEAR_TRENDING,2268.58,2291.68,2415.14,2048.73,48.85,-0.010183,-0.011683,401.46,-4.6901,bar_close,10031.76
856,2026-02-02 15:00:00,SentimentPulseStrategy,LONG,0.85,BULL_TRENDING,2371.75,2357.55,2214.94,2606.97,52.27,-0.005987,-0.007487,401.27,-3.0044,bar_close,10028.76
883,2026-02-03 18:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2118.89,2203.49,2252.28,1918.8,44.46,-0.039927,-0.041427,401.15,-16.6183,bar_close,10012.14
951,2026-02-06 14:00:00,SentimentPulseStrategy,LONG,0.8069,BULL_TRENDING,1978.0,1980.36,1823.91,2209.14,51.36,0.001193,-0.000307,400.49,-0.1229,bar_close,10012.02
953,2026-02-06 16:00:00,SentimentPulseStrategy,LONG,0.85,BULL_TRENDING,2035.83,2066.15,1879.64,2270.12,52.06,0.014893,0.013393,400.48,5.3637,bar_close,10017.38
1001,2026-02-08 16:00:00,SentimentPulseStrategy,SHORT,0.7569,BEAR_TRENDING,2079.82,2091.05,2164.87,1952.25,28.35,-0.0054,-0.0069,400.7,-2.7646,bar_close,10014.61
1039,2026-02-10 06:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2008.05,2006.07,2101.01,1868.61,30.99,0.000986,-0.000514,400.58,-0.2059,bar_close,10014.41
1061,2026-02-11 04:00:00,SentimentPulseStrategy,SHORT,0.7617,BEAR_TRENDING,1970.39,1973.25,2044.31,1859.52,24.64,-0.001451,-0.002951,400.58,-1.1823,bar_close,10013.23
1063,2026-02-11 06:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,1947.6,1949.8,2021.43,1836.85,24.61,-0.00113,-0.00263,400.53,-1.0532,bar_close,10012.17
1096,2026-02-12 15:00:00,SentimentPulseStrategy,SHORT,0.828,BEAR_TRENDING,1947.73,1908.12,2015.84,1845.56,22.7,0.020336,0.018836,400.49,7.5438,bar_close,10019.72
1097,2026-02-12 16:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,1908.12,1908.92,1982.74,1796.19,24.87,-0.000419,-0.001919,400.79,-0.7692,bar_close,10018.95
1098,2026-02-12 17:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,1908.92,1917.56,1983.42,1797.17,24.83,-0.004526,-0.006026,400.76,-2.415,bar_close,10016.53
