bar,time,strategy,direction,confidence,regime,entry,exit,stop,tp,atr,raw_pnl_pct,net_pnl_pct,pos_usd,pnl_usd,exit_reason,capital,is_arb,vetoed,governance_warnings
307,2026-01-10 19:00:00,AdaptiveMomentumStrategy,SHORT,0.7192,BULL_TRENDING,3088.35,3085.74,3121.12,3039.19,10.92,0.000845,-0.000655,400.0,-0.262,bar_close,9999.74,False,False,[]
375,2026-01-13 15:00:00,SentimentPulseStrategy,LONG,0.7544,BULL_TRENDING,3182.81,3180.01,3116.95,3281.6,21.95,-0.00088,-0.00238,399.99,-0.9519,bar_close,9998.79,False,False,[]
376,2026-01-13 16:00:00,SentimentPulseStrategy,LONG,0.7468,BULL_TRENDING,3180.01,3178.58,3113.59,3279.64,22.14,-0.00045,-0.00195,399.95,-0.7798,bar_close,9998.01,False,False,[]
377,2026-01-13 17:00:00,SentimentPulseStrategy,LONG,0.7073,BULL_TRENDING,3178.58,3199.92,3113.92,3275.58,21.55,0.006714,0.005214,399.92,2.0851,bar_close,10000.09,False,False,['Just exited loss streak pause — proceed with caution']
378,2026-01-13 18:00:00,SentimentPulseStrategy,LONG,0.7344,BULL_TRENDING,3199.92,3215.63,3132.02,3301.77,22.63,0.004909,0.003409,400.0,1.3638,bar_close,10001.46,False,False,[]
379,2026-01-13 19:00:00,SentimentPulseStrategy,LONG,0.7372,BULL_TRENDING,3215.63,3204.18,3146.77,3318.92,22.95,-0.003561,-0.005061,400.06,-2.0246,bar_close,9999.43,False,False,[]
382,2026-01-13 22:00:00,SentimentPulseStrategy,LONG,0.85,BULL_TRENDING,3329.08,3323.52,3231.67,3475.2,32.47,-0.00167,-0.00317,399.98,-1.268,bar_close,9998.16,False,False,[]
385,2026-01-14 01:00:00,CrossDexArbStrategy,LONG,0.3774,MEAN_REVERTING,3334.58,3345.29,0.0,0.0,31.08,0.003212,0.001212,599.89,0.7273,arb_atomic,9998.89,True,False,[]
417,2026-01-15 09:00:00,AdaptiveMomentumStrategy,LONG,0.7402,BULL_TRENDING,3363.99,3363.76,3277.61,3493.56,28.79,-6.8e-05,-0.001568,399.96,-0.6269,bar_close,9998.26,False,False,[]
425,2026-01-15 17:00:00,SentimentPulseStrategy,SHORT,0.7435,BEAR_TRENDING,3300.72,3288.15,3399.21,3152.98,32.83,0.003808,0.002308,399.93,0.9231,bar_close,9999.19,False,False,[]
426,2026-01-15 18:00:00,SentimentPulseStrategy,SHORT,0.7908,BEAR_TRENDING,3288.15,3294.68,3386.85,3140.1,32.9,-0.001986,-0.003486,399.97,-1.3943,bar_close,9997.79,False,False,[]
498,2026-01-18 18:00:00,CrossDexArbStrategy,LONG,0.4621,BULL_TRENDING,3360.91,3373.41,0.0,0.0,12.94,0.003718,0.001718,599.87,1.0305,arb_atomic,9998.82,True,False,[]
503,2026-01-18 23:00:00,AdaptiveMomentumStrategy,SHORT,0.75,BEAR_TRENDING,3282.7,3203.75,3335.33,3203.75,17.54,0.02405,0.02255,399.95,9.0188,take_profit,10007.84,False,False,[]
503,2026-01-18 23:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,3282.7,3203.75,3335.33,3203.75,17.54,0.02405,0.02255,400.31,9.0269,take_profit,10016.87,False,False,[]
504,2026-01-19 00:00:00,AdaptiveMomentumStrategy,SHORT,0.75,BEAR_TRENDING,3213.0,3205.52,3284.47,3105.79,23.82,0.002327,0.000827,400.67,0.3312,bar_close,10017.2,False,False,[]
504,2026-01-19 00:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,3211.39,3205.52,3282.86,3104.18,23.82,0.001828,0.000328,400.69,0.1314,bar_close,10017.33,False,False,[]
505,2026-01-19 01:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,3205.52,3203.23,3277.54,3097.48,24.01,0.000714,-0.000786,400.69,-0.3148,bar_close,10017.02,False,False,[]
534,2026-01-20 06:00:00,SentimentPulseStrategy,SHORT,0.8439,BEAR_TRENDING,3113.64,3120.49,3178.77,3015.94,21.71,-0.0022,-0.0037,400.68,-1.4825,bar_close,10015.53,False,False,[]
536,2026-01-20 08:00:00,SentimentPulseStrategy,SHORT,0.8233,BEAR_TRENDING,3103.41,3091.12,3171.44,3001.36,22.68,0.00396,0.00246,400.62,0.9856,bar_close,10016.52,False,False,[]
543,2026-01-20 15:00:00,SentimentPulseStrategy,SHORT,0.7626,BEAR_TRENDING,3029.87,3006.44,3108.75,2911.55,26.29,0.007733,0.006233,400.66,2.4973,bar_close,10019.02,False,False,[]
544,2026-01-20 16:00:00,SentimentPulseStrategy,SHORT,0.8426,BEAR_TRENDING,3006.44,2996.86,3089.11,2882.44,27.56,0.003186,0.001686,400.76,0.6759,bar_close,10019.69,False,False,[]
545,2026-01-20 17:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2996.86,2988.8,3081.92,2869.28,28.35,0.002689,0.001189,400.79,0.4767,bar_close,10020.17,False,False,[]
568,2026-01-21 16:00:00,AdaptiveMomentumStrategy,SHORT,0.75,BEAR_TRENDING,2890.97,2901.39,3002.71,2723.38,37.24,-0.003603,-0.005103,400.81,-2.0452,bar_close,10018.12,False,False,[]
568,2026-01-21 16:00:00,SentimentPulseStrategy,SHORT,0.7374,BEAR_TRENDING,2889.53,2901.39,3001.26,2721.93,37.24,-0.004104,-0.005604,400.72,-2.2459,bar_close,10015.88,False,False,[]
571,2026-01-21 19:00:00,AdaptiveMomentumStrategy,LONG,0.75,BEAR_TRENDING,3051.78,3029.14,2911.85,3261.69,46.65,-0.00742,-0.00892,400.64,-3.5735,bar_close,10012.3,False,False,[]
580,2026-01-22 04:00:00,CrossDexArbStrategy,LONG,0.382,BEAR_TRENDING,3020.28,3030.05,0.0,0.0,39.09,0.003236,0.001236,600.74,0.7425,arb_atomic,10013.05,True,False,['Just exited loss streak pause — proceed with caution']
587,2026-01-22 11:00:00,AdaptiveMomentumStrategy,SHORT,0.75,BEAR_TRENDING,2985.55,2988.28,3077.37,2847.82,30.61,-0.000914,-0.002414,400.52,-0.9667,bar_close,10012.08,False,False,[]
590,2026-01-22 14:00:00,SentimentPulseStrategy,SHORT,0.7958,BEAR_TRENDING,2939.07,2939.94,3035.78,2794.0,32.24,-0.000296,-0.001796,400.48,-0.7193,bar_close,10011.36,False,False,[]
591,2026-01-22 15:00:00,SentimentPulseStrategy,SHORT,0.7733,BEAR_TRENDING,2939.94,2943.84,3042.99,2785.37,34.35,-0.001327,-0.002827,400.45,-1.1319,bar_close,10010.23,False,False,[]
606,2026-01-23 06:00:00,AdaptiveMomentumStrategy,SHORT,0.75,BEAR_TRENDING,2938.05,2945.02,3016.17,2820.86,26.04,-0.002373,-0.003873,400.41,-1.5507,bar_close,10008.68,False,False,['Just exited loss streak pause — proceed with caution']
664,2026-01-25 16:00:00,AdaptiveMomentumStrategy,SHORT,0.7002,BEAR_TRENDING,2894.92,2880.98,2939.39,2828.21,14.82,0.004814,0.003314,400.35,1.3268,bar_close,10010.0,False,False,['Just exited loss streak pause — proceed with caution']
664,2026-01-25 16:00:00,SentimentPulseStrategy,SHORT,0.7242,BEAR_TRENDING,2893.47,2880.98,2937.94,2826.77,14.82,0.004317,0.002817,400.4,1.1278,bar_close,10011.13,False,False,[]
665,2026-01-25 17:00:00,SentimentPulseStrategy,SHORT,0.7697,BEAR_TRENDING,2880.98,2845.02,2926.36,2812.91,15.13,0.012482,0.010982,400.45,4.3976,bar_close,10015.53,False,False,[]
666,2026-01-25 18:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2845.02,2810.38,2900.02,2762.52,18.33,0.012176,0.010676,400.62,4.2769,bar_close,10019.81,False,False,[]
667,2026-01-25 19:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2810.38,2807.42,2873.19,2716.17,20.94,0.001053,-0.000447,400.79,-0.1791,bar_close,10019.63,False,False,[]
668,2026-01-25 20:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2807.42,2816.27,2873.51,2708.28,22.03,-0.003152,-0.004652,400.79,-1.8646,bar_close,10017.76,False,False,[]
694,2026-01-26 22:00:00,CrossDexArbStrategy,LONG,0.4357,BEAR_TRENDING,2924.88,2935.25,0.0,0.0,28.56,0.003544,0.001544,601.07,0.9281,arb_atomic,10018.69,True,False,[]
711,2026-01-27 15:00:00,AdaptiveMomentumStrategy,LONG,0.7494,BEAR_TRENDING,2932.76,2987.87,2868.52,3029.13,21.41,0.01879,0.01729,400.75,6.929,bar_close,10025.62,False,False,[]
712,2026-01-27 16:00:00,AdaptiveMomentumStrategy,LONG,0.7192,BEAR_TRENDING,2986.38,2927.29,2912.95,3096.52,24.48,-0.019785,-0.021285,401.02,-8.5359,bar_close,10017.08,False,False,[]
713,2026-01-27 17:00:00,AdaptiveMomentumStrategy,SHORT,0.7152,BEAR_TRENDING,2928.75,2975.19,3013.21,2802.07,28.15,-0.015855,-0.017355,400.68,-6.954,bar_close,10010.13,False,False,[]
753,2026-01-29 09:00:00,CrossDexArbStrategy,LONG,0.3997,MEAN_REVERTING,2938.4,2948.19,0.0,0.0,22.39,0.003331,0.001331,600.61,0.7996,arb_atomic,10010.93,True,False,[]
756,2026-01-29 12:00:00,CrossDexArbStrategy,LONG,0.4782,MEAN_REVERTING,2932.68,2943.92,0.0,0.0,20.7,0.003833,0.001833,600.66,1.101,arb_atomic,10012.03,True,False,[]
758,2026-01-29 14:00:00,AdaptiveMomentumStrategy,SHORT,0.75,BEAR_TRENDING,2872.22,2819.77,2940.42,2769.93,22.73,0.018261,0.016761,400.48,6.7125,bar_close,10018.74,False,False,[]
758,2026-01-29 14:00:00,SentimentPulseStrategy,SHORT,0.7839,BEAR_TRENDING,2872.22,2819.77,2940.42,2769.93,22.73,0.018261,0.016761,400.75,6.717,bar_close,10025.46,False,False,[]
759,2026-01-29 15:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2819.77,2830.94,2900.15,2699.21,26.79,-0.003961,-0.005461,401.02,-2.1901,bar_close,10023.27,False,False,[]
762,2026-01-29 18:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2759.88,2792.81,2855.85,2615.92,31.99,-0.011932,-0.013432,400.93,-5.3852,bar_close,10017.89,False,False,[]
766,2026-01-29 22:00:00,CrossDexArbStrategy,LONG,0.3516,MEAN_REVERTING,2815.98,2824.67,0.0,0.0,30.52,0.003084,0.001084,601.07,0.6518,arb_atomic,10018.54,True,False,[]
769,2026-01-30 01:00:00,SentimentPulseStrategy,SHORT,0.7925,BEAR_TRENDING,2743.61,2732.84,2849.81,2584.31,35.4,0.003925,0.002425,400.74,0.972,bar_close,10019.51,False,False,[]
788,2026-01-30 20:00:00,SentimentPulseStrategy,SHORT,0.7341,BEAR_TRENDING,2676.91,2702.77,2803.9,2486.42,42.33,-0.00966,-0.01116,400.78,-4.4729,bar_close,10015.04,False,False,[]
800,2026-01-31 08:00:00,SentimentPulseStrategy,SHORT,0.736,BEAR_TRENDING,2639.94,2644.59,2735.56,2496.52,31.87,-0.001761,-0.003261,400.6,-1.3065,bar_close,10013.73,False,False,[]
803,2026-01-31 11:00:00,CrossDexArbStrategy,LONG,0.3067,MEAN_REVERTING,2636.47,2644.08,0.0,0.0,29.58,0.002885,0.000885,600.82,0.5315,arb_atomic,10014.26,True,False,[]
806,2026-01-31 14:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2535.52,2531.01,2639.59,2379.41,34.69,0.001779,0.000279,400.57,0.1117,bar_close,10014.37,False,False,[]
808,2026-01-31 16:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2479.49,2400.4,2592.0,2310.72,37.5,0.031898,0.030398,400.57,12.1766,bar_close,10026.55,False,False,[]
809,2026-01-31 17:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2400.4,2378.55,2528.39,2208.42,42.66,0.009103,0.007603,401.06,3.0491,bar_close,10029.6,False,False,[]
810,2026-01-31 18:00:00,SentimentPulseStrategy,SHORT,0.85,BEAR_TRENDING,2378.55,2380.28,2530.99,2149.88,50.81,-0.000727,-0.002227,401.18,-0.8936,bar_close,10028.71,False,False,[]
831,2026-02-01 15:00:00,SentimentPulseStrategy,SHORT,0.8058,BEAR_TRENDING,2314.2,2303.03,2446.57,2115.64,44.12,0.004827,0.003327,401.15,1.3345,bar_close,10030.04,False,False,[]
839,2026-02-01 23:00:00,SentimentPulseStrategy,SHORT,0.8302,BEAR_TRENDING,2268.58,2291.68,2415.14,2048.73,48.85,-0.010183,-0.011683,401.2,-4.6871,bar_close,10025.35,False,False,[]
